"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_252",63,45,63,51,53,0,36,40,45,24,64,55,49,76,65,76,46,50
"OTU_2527",0,0,0,0,0,0,0,0,0,0,11,0,0,15,8,0,10,9
"OTU_2534",11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,11,0
"OTU_2535",6,17,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
"OTU_2536",4,2,0,5,8,0,8,0,0,0,10,4,0,0,0,0,0,0
"OTU_253",41,36,48,60,108,0,33,56,26,24,46,51,81,31,56,89,51,42
"OTU_2538",0,0,0,10,0,0,0,0,13,0,13,0,0,6,0,0,0,0
"OTU_2539",0,13,0,8,0,0,0,14,6,0,0,0,0,0,0,0,0,0
"OTU_2547",23,0,0,0,18,0,0,0,0,2,0,0,11,0,0,0,0,0
"OTU_2548",5,0,0,0,0,0,0,12,0,0,0,10,5,0,0,0,9,12
"OTU_254",0,0,0,69,47,0,63,45,33,0,81,0,60,39,99,104,70,94
"OTU_2551",0,8,0,0,0,0,0,27,13,0,0,0,0,0,0,9,0,0
"OTU_2552",0,0,4,0,4,0,0,0,0,0,0,0,0,17,13,16,0,0
"OTU_2553",0,0,0,14,0,0,0,0,0,0,3,0,18,7,7,0,0,0
"OTU_255",46,64,47,48,143,0,64,129,0,27,46,86,19,0,0,23,37,84
"OTU_2560",0,0,0,0,0,0,0,7,0,0,0,11,4,10,11,8,0,0
"OTU_256",72,0,89,0,107,17,80,61,0,32,87,72,58,0,55,98,48,69
"OTU_2565",13,0,0,0,0,0,6,0,8,0,8,9,0,0,0,0,0,0
"OTU_2567",0,6,6,0,8,0,0,0,0,0,2,0,0,7,4,0,8,0
"OTU_2568",0,7,7,0,0,0,0,0,0,6,0,14,0,11,0,0,0,0
"OTU_2570",0,0,0,0,0,0,12,0,0,0,0,0,8,9,0,18,0,0
"OTU_257",0,0,0,2,0,973,0,8,0,0,0,0,0,0,0,0,0,33
"OTU_2572",9,0,0,0,7,0,0,0,0,22,0,0,0,10,0,0,0,0
"OTU_2576",0,0,0,9,0,0,0,0,8,14,0,0,0,0,10,0,0,10
"OTU_2577",0,0,0,0,0,0,15,17,0,0,8,0,0,0,0,13,0,0
"OTU_2580",0,0,0,0,0,0,0,0,0,17,10,0,0,0,9,0,16,0
"OTU_258",53,0,36,69,51,8,31,38,66,32,45,60,44,60,62,82,71,91
"OTU_2588",0,0,0,0,11,0,0,0,5,2,9,0,0,4,0,8,0,0
"OTU_2591",6,0,11,0,0,0,0,0,6,14,7,0,0,0,0,10,0,0
"OTU_259",0,0,0,108,67,0,103,71,0,0,0,0,84,128,87,82,96,161
"OTU_2593",0,23,0,0,7,0,3,0,9,11,0,2,0,0,0,0,0,0
"OTU_2595",0,0,9,0,0,0,14,7,0,0,10,0,0,0,0,0,10,0
