"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_464",0,0,42,55,0,49,0,57,13,0,59,56,31,0,0,57,0,0
"OTU_467",23,37,37,27,41,10,14,12,31,0,21,22,11,44,37,44,13,9
"OTU_471",18,13,79,0,0,27,53,21,12,0,17,31,17,39,8,9,11,93
"OTU_473",16,0,6,23,9,0,6,19,6,7,10,18,6,7,26,0,7,14
"OTU_477",23,32,44,19,0,0,32,0,10,42,0,27,18,17,25,30,21,9
"OTU_478",0,0,0,0,0,29,0,0,10,172,14,26,0,0,39,0,43,26
"OTU_483",16,0,8,23,30,0,20,72,14,10,15,23,33,10,29,23,31,19
"OTU_484",9,0,3,29,0,0,20,7,22,56,27,10,13,3,0,21,2,11
"OTU_485",0,0,0,0,0,35,16,0,0,0,0,0,0,0,0,0,0,0
"OTU_493",14,22,16,16,14,38,19,17,15,33,14,18,29,0,22,34,25,0
"OTU_494",40,39,28,18,16,0,0,16,0,18,28,21,0,0,31,34,8,28
"OTU_495",49,19,34,18,28,19,18,24,9,0,0,19,39,46,29,35,23,12
"OTU_500",25,39,33,39,14,0,0,37,0,0,22,28,20,37,38,19,0,20
"OTU_501",20,28,14,0,79,0,14,26,23,0,42,18,52,25,26,16,0,23
"OTU_502",23,16,0,0,0,21,0,72,0,22,24,65,0,0,20,26,37,52
"OTU_505",0,60,25,30,9,36,15,0,0,16,27,18,12,0,10,34,53,6
"OTU_510",0,0,0,0,0,11,77,0,0,82,54,104,56,0,0,0,0,0
"OTU_513",9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_515",26,0,21,16,31,0,14,39,0,14,33,0,23,39,0,19,41,16
"OTU_517",0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_522",30,0,0,0,0,0,0,0,0,20,0,0,0,140,90,19,0,0
"OTU_523",0,71,0,0,27,0,30,0,0,26,0,0,0,22,58,0,35,48
"OTU_528",11,18,27,9,0,11,12,7,14,7,70,38,9,49,50,18,4,5
"OTU_529",0,23,90,23,38,0,29,0,32,18,24,0,0,0,18,29,19,0
"OTU_531",11,52,23,31,36,0,13,18,8,13,18,24,6,35,47,18,10,24
"OTU_541",19,41,26,37,37,0,7,32,16,0,23,42,3,53,12,3,0,9
"OTU_544",54,44,27,34,51,0,6,20,0,2,0,13,0,5,5,9,7,9
"OTU_545",9,105,73,10,28,0,0,18,38,0,3,21,0,0,15,6,0,0
"OTU_548",49,72,21,8,27,0,0,20,0,0,24,18,0,24,0,0,0,0
"OTU_552",25,18,16,16,25,0,35,34,6,6,22,17,0,33,21,0,25,0
"OTU_557",13,27,35,26,22,0,7,29,24,0,35,0,3,36,24,17,7,21
"OTU_568",0,0,39,182,11,6,0,0,0,0,0,0,0,0,6,0,0,19
"OTU_569",6,19,14,20,11,0,16,10,0,5,26,17,0,9,12,6,11,99
"OTU_570",17,27,51,8,10,0,24,0,53,0,18,53,0,11,33,0,0,16
"OTU_578",11,0,0,0,22,3,26,0,0,0,0,0,0,0,26,0,0,0
"OTU_581",0,0,0,0,0,0,18,8,0,10,20,17,49,0,164,0,28,0
"OTU_585",0,39,7,0,0,0,80,0,14,0,0,0,14,0,0,31,38,0
"OTU_603",102,64,15,30,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_606",5,6,9,8,0,396,0,0,0,11,0,0,5,0,5,0,8,7
"OTU_608",3,6,0,0,0,3,38,83,30,25,54,28,17,0,0,25,0,0
"OTU_613",0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_616",0,25,26,22,15,0,0,0,0,44,26,39,6,26,0,24,26,0
"OTU_619",0,0,0,6,0,0,18,25,48,0,35,34,62,0,0,14,6,14
"OTU_620",0,76,0,0,17,0,0,0,30,6,0,0,0,0,0,0,128,0
"OTU_623",0,52,0,13,0,0,11,0,0,13,20,24,0,29,68,7,0,0
"OTU_632",22,59,11,26,11,0,10,0,5,0,5,31,0,0,0,0,0,0
"OTU_636",78,45,28,35,46,4,0,0,0,0,0,50,0,0,0,17,0,0
"OTU_643",16,25,15,21,23,15,25,20,8,8,11,16,3,31,11,12,11,10
"OTU_653",0,0,0,35,17,0,14,0,15,0,15,39,24,0,51,31,14,31
"OTU_657",0,57,15,41,0,0,0,14,0,9,20,0,42,65,0,22,0,0
"OTU_658",0,0,0,0,0,0,21,0,8,16,18,37,40,0,28,47,6,49
"OTU_659",0,30,0,0,0,12,0,0,11,0,0,0,0,0,0,0,20,0
"OTU_663",0,70,58,10,0,5,0,10,53,10,4,36,0,0,46,0,0,0
"OTU_666",29,21,42,18,28,34,10,6,4,0,0,16,0,40,12,10,0,0
"OTU_667",22,0,27,0,34,29,0,0,20,10,13,10,16,0,0,13,7,35
"OTU_672",0,0,0,0,0,0,13,7,0,24,25,17,14,19,0,39,72,14
"OTU_674",25,28,23,30,14,0,0,0,0,0,0,0,25,79,28,27,0,0
"OTU_675",0,47,43,22,24,0,11,21,32,0,0,31,0,6,40,9,5,0
"OTU_678",31,33,36,50,35,0,19,22,0,0,0,0,0,0,10,0,0,0
"OTU_692",0,0,0,13,0,0,0,0,0,34,19,0,60,0,0,27,20,32
"OTU_698",16,0,23,54,14,45,0,0,25,0,0,0,28,0,0,40,14,0
"OTU_700",0,0,0,0,0,0,0,46,0,0,50,0,18,0,43,0,79,0
"OTU_701",0,48,14,25,12,0,0,33,4,11,0,21,12,0,9,13,3,10
"OTU_702",0,0,0,9,0,0,19,0,0,0,17,116,19,64,20,27,21,0
"OTU_723",15,21,14,17,15,0,23,0,0,17,0,0,9,0,39,0,13,12
"OTU_725",7,0,14,29,9,262,0,0,19,6,0,0,0,0,0,0,0,0
"OTU_730",0,0,0,17,0,0,0,41,0,0,33,0,40,35,28,0,13,27
"OTU_732",21,42,0,30,16,0,0,0,12,15,0,0,10,28,31,0,12,0
"OTU_734",4,22,16,11,9,0,23,16,7,7,11,25,12,15,0,14,18,10
"OTU_735",0,17,0,0,0,0,0,0,0,49,0,153,0,0,10,16,0,0
"OTU_736",0,0,9,0,0,261,0,0,37,8,12,0,0,0,0,9,0,5
"OTU_740",0,0,0,0,0,0,0,45,81,17,41,0,0,0,0,0,40,0
"OTU_744",20,0,0,18,60,16,0,0,16,0,13,0,9,22,29,11,20,0
"OTU_746",0,18,0,0,0,0,54,26,0,0,0,0,0,0,0,14,14,0
"OTU_758",26,15,32,0,39,0,0,22,0,0,15,22,0,34,31,0,5,15
"OTU_760",161,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
"OTU_764",0,0,0,0,0,0,0,0,15,93,0,0,11,0,0,0,41,0
"OTU_765",5,28,125,0,2,0,0,6,26,38,3,9,0,0,0,0,0,0
"OTU_767",0,0,11,5,0,0,26,23,0,9,22,0,26,25,4,65,0,1
"OTU_771",29,12,13,15,22,0,15,0,0,0,27,30,19,21,22,0,18,0
"OTU_775",0,0,51,6,42,0,44,9,0,36,0,0,31,0,5,15,0,0
"OTU_777",0,26,0,0,7,4,22,20,5,6,7,18,5,12,0,5,11,22
"OTU_780",33,0,0,0,19,0,29,30,0,13,27,24,32,0,37,0,0,0
"OTU_782",12,3,0,13,11,0,24,84,0,0,66,13,0,5,5,0,0,6
"OTU_783",0,39,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_788",26,0,19,9,0,0,0,27,13,0,26,43,10,0,5,7,23,0
"OTU_794",18,11,18,13,33,0,0,0,0,0,12,15,18,26,12,11,17,9
"OTU_797",0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_807",0,10,0,0,3,0,57,8,16,12,0,4,0,0,13,22,29,0
"OTU_808",13,29,16,19,22,0,10,14,0,0,3,19,6,16,16,10,0,7
"OTU_811",0,0,0,0,11,0,0,8,0,0,0,0,17,34,0,20,33,0
"OTU_813",0,0,0,0,0,0,0,19,17,0,13,0,33,44,36,16,10,0
"OTU_818",0,52,41,0,46,0,0,31,0,0,0,28,0,0,0,31,9,13
"OTU_821",38,0,0,0,0,0,0,0,0,28,0,0,55,40,39,0,0,21
"OTU_823",8,0,4,1,6,0,0,8,0,0,0,16,24,7,16,6,13,25
"OTU_825",0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_828",0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0
"OTU_831",0,0,57,0,0,0,77,0,69,10,0,0,0,0,0,0,0,0
