,node1,node2,weight2,weight,i,j,weight2
248,rpoB_OTU_130,AMF_OTU_119,0.355875931,0.355875931,r,A,-0.355875931
249,rpoB_OTU_131,rpoB_OTU_139,0.14723764,0.14723764,r,r,-0.14723764
250,rpoB_OTU_131,rpoB_OTU_260,-0.114581627,0.114581627,r,r,-0.114581627
251,rpoB_OTU_131,rpoB_OTU_306,0.023851456,0.023851456,r,r,-0.023851456
252,rpoB_OTU_134,rpoB_OTU_149,-0.132503862,0.132503862,r,r,-0.132503862
253,rpoB_OTU_134,rpoB_OTU_225,0.0412121,0.0412121,r,r,-0.0412121
254,rpoB_OTU_134,rpoB_OTU_257,0.022919413,0.022919413,r,r,-0.022919413
255,rpoB_OTU_137,rpoB_OTU_168,0.023419251,0.023419251,r,r,-0.023419251
256,rpoB_OTU_137,rpoB_OTU_198,0.054840746,0.054840746,r,r,-0.054840746
257,rpoB_OTU_137,rpoB_OTU_371,0.029334268,0.029334268,r,r,-0.029334268
258,rpoB_OTU_138,rpoB_OTU_149,-0.011560821,0.011560821,r,r,-0.011560821
259,rpoB_OTU_138,rpoB_OTU_187,0.01863347,0.01863347,r,r,-0.01863347
260,rpoB_OTU_138,rpoB_OTU_216,0.084172948,0.084172948,r,r,-0.084172948
261,rpoB_OTU_138,rpoB_OTU_310,0.005855753,0.005855753,r,r,-0.005855753
262,rpoB_OTU_138,rpoB_OTU_421,0.122971041,0.122971041,r,r,-0.122971041
263,rpoB_OTU_138,AMF_OTU_140,-0.001346202,0.001346202,r,A,-0.001346202
264,rpoB_OTU_138,AMF_OTU_162,0.000244358,0.000244358,r,A,-0.000244358
265,rpoB_OTU_139,rpoB_OTU_149,0.246750181,0.246750181,r,r,-0.246750181
266,rpoB_OTU_139,AMF_OTU_178,0.048411752,0.048411752,r,A,-0.048411752
267,rpoB_OTU_139,AMF_OTU_8,0.044953814,0.044953814,r,A,-0.044953814
268,rpoB_OTU_149,rpoB_OTU_158,0.036172921,0.036172921,r,r,-0.036172921
269,rpoB_OTU_149,rpoB_OTU_313,0.000977331,0.000977331,r,r,-0.000977331
270,rpoB_OTU_149,rpoB_OTU_331,0.258739861,0.258739861,r,r,-0.258739861
271,rpoB_OTU_149,AMF_OTU_124,0.033349017,0.033349017,r,A,-0.033349017
272,rpoB_OTU_149,AMF_OTU_32,-0.003406071,0.003406071,r,A,-0.003406071
273,rpoB_OTU_157,rpoB_OTU_160,0.080192794,0.080192794,r,r,-0.080192794
274,rpoB_OTU_157,AMF_OTU_137,0.036156401,0.036156401,r,A,-0.036156401
275,rpoB_OTU_157,AMF_OTU_139,-0.021091495,0.021091495,r,A,-0.021091495
276,rpoB_OTU_157,AMF_OTU_39,0.046077501,0.046077501,r,A,-0.046077501
277,rpoB_OTU_157,AMF_OTU_42,0.096159746,0.096159746,r,A,-0.096159746
278,rpoB_OTU_157,AMF_OTU_57,0.023289389,0.023289389,r,A,-0.023289389
279,rpoB_OTU_158,rpoB_OTU_255,0.103865893,0.103865893,r,r,-0.103865893
280,rpoB_OTU_158,AMF_OTU_102,0.016307531,0.016307531,r,A,-0.016307531
281,rpoB_OTU_158,AMF_OTU_98,-0.004947658,0.004947658,r,A,-0.004947658
282,rpoB_OTU_160,rpoB_OTU_232,0.126019072,0.126019072,r,r,-0.126019072
283,rpoB_OTU_160,rpoB_OTU_421,0.008456777,0.008456777,r,r,-0.008456777
284,rpoB_OTU_160,AMF_OTU_105,-0.003289913,0.003289913,r,A,-0.003289913
285,rpoB_OTU_160,AMF_OTU_114,-0.022416661,0.022416661,r,A,-0.022416661
286,rpoB_OTU_160,AMF_OTU_90,-0.025480428,0.025480428,r,A,-0.025480428
287,rpoB_OTU_163,rpoB_OTU_281,6.22E-06,6.22E-06,r,r,-6.22E-06
288,rpoB_OTU_163,rpoB_OTU_283,0.110403,0.110403,r,r,-0.110403
289,rpoB_OTU_163,rpoB_OTU_307,0.147520012,0.147520012,r,r,-0.147520012
290,rpoB_OTU_164,rpoB_OTU_187,0.116939365,0.116939365,r,r,-0.116939365
291,rpoB_OTU_164,rpoB_OTU_190,0.009100806,0.009100806,r,r,-0.009100806
292,rpoB_OTU_164,rpoB_OTU_200,0.169373415,0.169373415,r,r,-0.169373415
293,rpoB_OTU_164,rpoB_OTU_224,0.038187583,0.038187583,r,r,-0.038187583
294,rpoB_OTU_165,rpoB_OTU_257,0.044334539,0.044334539,r,r,-0.044334539
295,rpoB_OTU_165,rpoB_OTU_284,0.171700994,0.171700994,r,r,-0.171700994
296,rpoB_OTU_165,rpoB_OTU_298,0.186077528,0.186077528,r,r,-0.186077528
297,rpoB_OTU_165,rpoB_OTU_307,0.057925768,0.057925768,r,r,-0.057925768
