"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_309","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"OTU_310","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"OTU_313","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor","Nitratireductor aquibiodomus"
"OTU_314","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"OTU_325","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium oligotrophicum"
"OTU_329","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella sp. Koshimizu 6-1"
"OTU_331","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"OTU_358","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor","Nitratireductor aquibiodomus"
"OTU_359","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Chelatococcaceae","Chelatococcus","Chelatococcus sp. GW1"
"OTU_364","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodopseudomonas","Rhodopseudomonas palustris"
"OTU_365","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti"
"OTU_370","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium loti"
"OTU_371","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans","Chelativorans sp. BNC1"
"OTU_386","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella melitensis"
"OTU_401","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea massiliensis"
"OTU_421","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii"
"OTU_447","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"OTU_452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor","Nitratireductor aquibiodomus"
