"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_337",0,9,0,0,0,0,11,0,131,4,0,0,0,3,0,0,47,0
"OTU_34",653,2108,0,0,211,0,1827,0,0,159,285,27,700,368,99,44,90,0
"OTU_342",0,0,0,0,0,0,8,0,23,0,0,146,0,0,0,0,34,0
"OTU_343",0,0,0,107,0,0,0,0,5,0,0,25,0,0,0,0,62,0
"OTU_351",0,0,0,21,0,0,0,0,21,8,17,25,0,0,0,125,0,0
"OTU_35",832,107,115,90,133,576,65,42,1190,295,168,1605,77,28,10,89,1324,13
"OTU_359",20,0,0,0,0,14,0,0,35,5,0,30,6,13,4,0,43,0
"OTU_36",0,0,51,104,46,0,0,5927,0,129,0,0,0,0,0,0,0,0
"OTU_362",0,94,0,0,68,0,0,0,0,6,3,0,0,0,0,0,0,0
"OTU_364",0,4,0,1,0,65,0,0,0,0,0,62,0,0,0,0,32,0
"OTU_37",144,6,38,151,117,32,38,92,98,136,187,562,267,2530,103,520,818,14
"OTU_373",41,0,0,15,6,7,0,0,10,0,0,69,0,9,0,0,0,2
"OTU_374",12,0,0,14,0,0,14,10,0,0,0,52,15,7,0,0,18,15
"OTU_379",4,0,67,0,0,0,75,0,0,0,0,0,0,0,31,0,0,0
"OTU_383",0,0,0,28,0,0,87,0,0,35,6,0,0,0,0,0,0,0
"OTU_385",61,0,6,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_38",38,1252,443,192,29,0,1868,287,0,231,556,0,252,72,70,511,20,0
"OTU_388",0,0,0,0,0,0,0,0,93,2,0,37,0,0,0,0,3,0
"OTU_39",417,324,176,48,2180,5,200,25,750,0,94,511,16,121,58,0,327,0
"OTU_398",0,0,0,0,0,0,38,0,38,9,0,23,0,0,0,0,35,0
"OTU_399",2,0,0,0,78,0,0,0,0,4,0,0,0,48,0,0,0,0
"OTU_40",12,0,51,50,34,0,21,2130,0,2978,18,0,6,20,12,0,0,0
"OTU_403",0,1,0,0,0,0,0,0,5,0,0,120,0,0,0,0,14,0
"OTU_410",41,0,41,0,32,0,0,0,0,37,0,0,0,0,0,0,0,0
"OTU_413",0,0,0,1,0,0,0,0,29,0,0,94,0,0,0,0,16,0
"OTU_41",4,13,94,5,0,65,0,20,3,2283,7,7,5,5,70,2891,8,477
"OTU_415",0,0,0,0,0,0,0,0,34,0,0,31,0,1,0,0,69,0
"OTU_419",18,0,0,0,0,41,0,0,17,0,0,0,0,16,0,0,28,0
"OTU_4",124,333,65,35,232,29302,590,154,4815,82,915,244,24,15,15,529,7869,14
"OTU_42",666,0,259,444,785,0,244,151,0,0,1340,0,0,0,0,1111,0,123
"OTU_425",64,4,0,0,0,0,0,0,17,0,0,35,0,0,0,0,11,0
"OTU_426",0,0,0,11,11,0,28,0,0,0,57,6,0,0,0,0,21,0
"OTU_435",0,2,0,0,7,0,0,0,60,0,0,18,0,0,0,0,18,0
"OTU_43",41,593,1318,50,0,0,185,40,0,0,0,0,0,2474,0,51,0,0
"OTU_438",0,0,0,0,0,26,9,0,26,0,0,43,0,0,0,0,20,0
"OTU_439",0,0,0,0,0,4,0,0,8,0,0,25,0,0,0,0,83,0
"OTU_440",0,8,0,0,0,0,0,0,14,0,0,35,0,0,0,0,55,0
"OTU_444",8,0,0,8,11,0,0,0,0,0,0,0,29,0,0,0,77,0
"OTU_44",353,14,118,409,105,3,51,18,79,2586,28,84,8,99,12,14,596,15
