"","i","j","x"
"269",55,133,0.0731486084905973
"270",84,133,-0.053031994064532
"271",99,133,0.0342929895107235
"272",113,133,0.118164873966676
"273",34,134,0.0425825025658565
"274",47,134,0.142228820992092
"275",106,134,0.0725594018406723
"276",114,134,0.321900947963947
"277",5,135,0.433173789513903
"278",51,135,0.154904325490258
"279",70,135,0.0292764966809889
"280",117,135,0.342907250540584
"281",15,136,0.18507559452307
"282",36,136,0.113053286397141
"283",69,136,0.0840145729741081
"284",12,137,-0.0294070675780877
"285",22,137,0.00800006592524322
"286",30,137,0.114775740608605
"287",31,137,0.0597691731685738
"288",55,137,0.0405932391107333
"289",80,137,0.15021443095085
"290",9,138,0.188205246143685
"291",15,138,0.0226561321565445
"292",25,138,-0.0517612971189318
"293",79,138,0.0798733663592646
"294",97,138,0.133982783768003
"295",136,138,0.0585433137597784
"296",113,139,0.214837589060025
"297",136,139,0.0117121033382308
"298",43,140,-0.0399089754199507
"299",72,140,0.127708737173933
"300",103,140,0.00122899713551725
"301",131,140,0.0918713948053355
"302",32,141,0.232471311984634
"303",53,141,0.0872909754998369
"304",103,141,0.265551191773125
"305",125,141,0.0512207644359228
"306",140,141,0.111227835632537
"307",32,142,-0.012490593317531
"308",70,142,0.132465315726091
"309",75,142,-0.0460207860438858
"310",79,142,0.0954536116337561
"311",16,143,0.0714200645778018
"312",8,144,0.142537160979997
"313",32,144,0.0400270703183683
"314",22,145,0.0694154215188726
"315",49,145,0.442844917418725
"316",137,145,0.0880635996241161
"317",8,146,0.27283235945107
"318",49,146,-0.0250018978181381
"319",51,146,0.0520993427092566
"320",78,146,0.0616539066081143
