"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_10194",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10195",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10196",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10197",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_1019",0,0,0,61,0,0,0,0,0,0,0,0,0,44,46,35,0,0
"OTU_10198",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10199",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_10200",0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0
"OTU_1020",0,0,0,0,24,30,29,0,0,29,0,0,0,0,14,30,0,0
"OTU_10201",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10202",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_10203",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_10204",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_10205",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_10206",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_10207",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_10208",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_10209",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_10210",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10211",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_10212",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_10213",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_1021",0,0,0,31,30,0,0,0,0,0,23,0,0,0,0,0,0,0
"OTU_10214",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_10215",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
"OTU_10216",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10217",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10218",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10219",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10220",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10221",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10222",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10223",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_1022",10,0,14,28,20,0,0,0,23,30,0,9,24,0,0,21,0,0
"OTU_10224",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10225",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_10226",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_10227",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_10228",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_10229",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_10230",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_10231",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"OTU_10232",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_1023",16,0,14,21,0,0,22,0,0,0,30,0,28,38,0,0,0,40
"OTU_10233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
