"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1409","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","uncultured_Bacteroidetes_bacterium"
"OTU_1410","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1413","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",""
"OTU_1414","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_Subgroup_3","Bryobacter",""
"OTU_1415","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","",""
"OTU_141","Bacteria","Proteobacteria","Deltaproteobacteria","MBNT15","","",""
"OTU_1419","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",""
"OTU_1420","Bacteria","Actinobacteria","","","","",""
"OTU_1421","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",""
"OTU_142","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"OTU_1422","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured_bacterium"
"OTU_1423","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured_microorganism"
"OTU_1424","Bacteria","Planctomycetes","OM190","","","",""
"OTU_1425","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1427","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","",""
"OTU_1428","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",""
"OTU_1430","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured_Niastella_sp."
"OTU_1431","Bacteria","Actinobacteria","0319-7L14","","","",""
"OTU_1433","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1434","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_1437","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_143","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured",""
"OTU_1439","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_1440","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_1441","Bacteria","Actinobacteria","Actinobacteria","Frankiales","","",""
"OTU_1442","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_1444","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_Subgroup_3","Bryobacter",""
"OTU_144","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1445","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",""
"OTU_1447","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_1448","Bacteria","Chloroflexi","KD4-96","","","",""
"OTU_14","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1449","Bacteria","","","","","",""
"OTU_1450","Bacteria","Actinobacteria","0319-7L14","","","",""
"OTU_1453","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","",""
"OTU_1454","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_1457","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1458","Bacteria","Actinobacteria","0319-7L14","","","",""
"OTU_145","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",""
"OTU_1460","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium"
"OTU_1462","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_Subgroup_3","",""
"OTU_1463","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_1464","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_146","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",""
"OTU_1468","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",""
"OTU_1469","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"OTU_1470","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_1472","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia_rhizophila"
"OTU_1474","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","metagenome"
"OTU_1475","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","",""
"OTU_1476","Bacteria","Rokubacteria","NC10","Rokubacteriales","","",""
"OTU_147","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","uncultured","",""
"OTU_1479","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1480","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_Chloroflexaceae_bacterium"
"OTU_1482","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter","uncultured_bacterium"
"OTU_1483","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"OTU_1485","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","",""
"OTU_1486","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium"
"OTU_1488","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067",""
"OTU_148","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",""
"OTU_1490","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","uncultured_actinobacterium"
"OTU_1492","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",""
"OTU_1493","Bacteria","","","","","",""
"OTU_1494","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",""
"OTU_1495","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",""
"OTU_1496","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",""
"OTU_149","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1497","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_1498","Bacteria","Chloroflexi","Gitt-GS-136","","","",""
"OTU_1499","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis",""
"OTU_1500","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1503","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",""
"OTU_1504","Bacteria","Chloroflexi","TK10","","","",""
"OTU_1505","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","",""
"OTU_1507","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",""
"OTU_150","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1511","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_151","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1513","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",""
"OTU_1514","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_1515","Bacteria","Chloroflexi","Anaerolineae","","","",""
"OTU_1516","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group",""
"OTU_1517","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","",""
"OTU_1520","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"OTU_152","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",""
"OTU_1522","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","metagenome"
"OTU_1523","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_1524","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","",""
"OTU_1527","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_1528","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncultured",""
"OTU_1529","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","metagenome"
"OTU_1530","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","","",""
"OTU_1531","Bacteria","Acidobacteria","Subgroup_6","","","",""
